Payer_ID,Payer_Name,State_Name,Mailing_Address1,Mailing_Address2,Mailing_City,Mailing_State,Mailing_Zip,FAX,Main_Phone,BV_Phone,Claims_Phone,
,Aetna,Michigan,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Minnesota,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,New Jersey,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,New York,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,North Carolina,PO Box 14079,,Lexington,Kentucky,40512-4079,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Ohio,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Pennsylvania,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Tennessee,PO Box 14079,,Lexington,Kentucky,40512-4079,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Texas,PO Box 818042 ,,Cleveland,OH ,44181-8042 ,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-866-510-3710,
,Aetna,Virginia,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Washington,PO Box 14079,,Lexington,Kentucky,40512-4079,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Delaware,PO Box 981106,,El Paso,Texas,79998-1106,1-877-269-9916, 1-877-542-3862,1-844-362-0934,1-877-269-9916 ,
,Aetna,Hawaii,P.O. Box 742448,,Atlanta,Georgia,30374-2104, 1-800-408-2386,1-800-353-1232,1-800-264-4000, 1-800-408-2386,
,Aetna,Idaho,101 E. Main St.,,Louisville,Kentucky,40202,1-800-523-0023,1-800-457-4708,1-800-448-6262,1-800-523-0023,
,Aetna,Iowa,P.O. Box 742448,,Atlanta,Georgia,30374-2104, 1-833-596-0339,1-888-792-3862,1-833-570-6670, 1-833-596-0339,
,Aetna,Kansas,P.O. Box 742448,,Atlanta,Georgia,30374-2104,1-855-225-4102,1-855-221-5656,1-855-221-5656,1-855-225-4102,
,Aetna,Kentucky,P.O. Box 742448,,Atlanta,Georgia,30374-2104,1-855-454-5578,1-855-300-5528 ,1-855-300-5528,1-855-454-5579,
,Aetna,Louisiana,P.O. Box 742448,,Atlanta,Georgia,30374-2104,1-844-227-9205,1-855-242-0802,1-888-922-0007,1-844-227-9205,
,Aetna,Maine,P.O. Box 742448,,Atlanta,Georgia,30374-2104,1-866-292-0359,1-800-307-4830,1-800-307-4830,1-866-292-0359,
,Aetna,Mississippi,645 Lakeland East Drive,,Flowood,Mississippi,39232,1-860-754-1602,1-833-771-7785,1-800-872-3862,1-800-408-2386,
,Aetna,Missouri,P.O. Box 742448,,Atlanta,Georgia,30374-2104,1-866-292-0359,1-888-632-3862,1-888-632-3862,1-866-292-0359,
,Aetna,Montana,101 E. Main St.,,Louisville,Kentucky,40202,1-800-523-0023,1-800-457-4708,1-800-457-4708,1-800-523-0023,
,Aetna,Nebraska,PO Box 981106,,El Paso,Texas,79998-1106,1-877-269-9916, 1-888-632-3862,1-888-632-3862,1-877-269-9916,
,Aetna,Nevada,P.O. Box 742448,,Atlanta,"Georgia	",30374-2104,1-888-792-3862 , 1-800-872-3862 ,1-800-245-1206 ,1-855-633-7673,
,Aetna,New Hampshire,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,1-844-304-8780,1-844-304-8781,1-800-964-3627,
,Aetna,New Mexico,101 E. Main St.,,Louisville,Kentucky,40202,1-800-523-0023,1-833-704-1024,1-800-457-4708,1-800-523-0023,
,Aetna,North Dakota,P.O. Box 742448,,Atlanta,Georgia,30374-2104,1-877-269-9916,1-888-632-3862,1-888-632-3862,1-877-269-9916 ,
,Aetna,Oklahoma,P.O. Box 742448,,Atlanta,Georgia,30374-2104,1-888-267-3277,1-844-365-4385,1-877-269-9916,1-888-267-3277,
,Aetna,Oregon,P.O. Box 742448,,Atlanta,Georgia,30374-2104, 1-800-408-2386,1-800-353-1232,1-800-264-4000, 1-800-408-2386,
,Aetna,Rhode Island,PO Box 981106,,El Paso,Texas,79998-1106,1-833-596-0339,1-888-632-3862,1-888-632-3862,1-833-596-0339,
,Aetna,South Carolina,PO Box 14079,,Lexington,Kentucky,40512-4079,1-877-269-9916,1-888-792-3862,1-800-282-5366 ,1-877-269-9916,
,Aetna,South Dakota,PO Box 981106,,El Paso,Texas,79998-1106,1-833-596-0339,1-800-353-1232,1-800-353-1232,1-833-596-0339,
,Aetna,Utah,PO Box 14088,,Lexington, Kentucky,40512,1-877-269-9916,1-888-792-3862 , 1-888-792-3862,1-855-463-0933,
,Aetna,Vermont,62 Merchants Row,,Williston,Vermont,05495,1-800-376-6373,1-800-380-3530,1-800-825-5687,1-800-280-7346,
,Aetna,West Virginia,500 Virginia Street,,Charleston,West virginia,25301,1-866-810-8476,"1-888-348-2922	",1-888-348-2922,1-866-669-2454,
,Aetna,Wisconsin,P.O. Box 742448,,Atlanta,Georgia,30374-2104,1-866-759-4415,1-855-648-0389,1-888-792-3862,1-877-363-8120,
,Aetna,Wyoming,101 E. Main St.,,Louisville,Kentucky,40202,1-800-523-0023,1-800-457-4708,1-800-457-4708,1-800-523-0023,
,Centene Ambetter,Alabama,230 N.Main St,,Dayton,Ohio,45402, 1-833-423-1441,1-800-442-1623,1-800-442-1623, 1-833-423-1441,
,Centene Ambetter,Arizona,7027 Old Madison Pike,,Huntsville,Alabama,35806, 1-866-597-7603,1-866-918-4450,1-866-918-4450, 1-866-597-7603,
,Centene Ambetter,Arkansas,1850 W Rio Salado,,Tempe,Arizona,85281,1-877-617-0392 ,1-877-617-0390,1-877-617-0390,1-866-884-9580,
,Centene Ambetter,Delaware,P.O. Box 25538,,Little Rock,Arkansas,72221,1-855-227-3804,1-833-919-3214,1-833-919-3214,1-855-227-3804,
,Centene Ambetter,Florida,750 Prides Crossing,,Newark,Delaware,19713,1-855-678-6981,1-877-687-1169,1-877-687-1169 ,1-855-678-6981,
,Centene Ambetter,Georgia,PO Box 459089,,Fort Lauderdale,Florida,33345,1-877-683-3155,1-877-941-9231,1-877-687-1180,1-855-685-6508,
,Centene Ambetter,Illinois,1100 Circle 75 Parkway,,Atlanta,Georgia,30339,1-844-311-3746,1-855-745-5507 ,1-855-745-5507,1-800-977-4170,
,Centene Ambetter,Indiana,PO Box 733,,Elk Grove Village,Illinois,60009,1-855-702-7337,1-877-687-1182,1-877-687-1182,1-855-702-7337,
,Centene Ambetter,Iowa,550 N. Meridian Street,,Indianapolis,Indiana,46204, 1-833-611-2514 ,1-833-919-3213 ,1-833-919-3213, 1-833-611-2481,
,Centene Ambetter,Kansas,7700 Forsyth Boulevard,,St. Louis,Iowa,63105,1-844-474-7115,1-844-824-7705 ,1-833-919-3213,1-844-474-7115,
,Centene Ambetter,Kentucky,8325 Lenexa Drive,,Lenexa,Kansas,66214,1-833-959-3828 ,1-833-705-2175,1-833-705-2175,1-833-959-3828 ,
,Centene Ambetter,Louisiana,13551 Triton Park Blvd.,,Louisville,kentucky,40223,1-877-941-8073,1-833-635-0450,1-833-635-0450, 1-833-603-2871,
,Centene Ambetter,Michigan,P.O. Box 84180,,Baton Rouge,Louisiana,70884,1-833-980-2544,1-833-993-2426 ,1-833-993-2426 ,1-833-913-2996,
,Centene Ambetter,Mississippi,777 Woodward,,Detroit,Michigan,48226,1-877-941-8075,1-877-687-1187 ,1-877-687-1187 ,1-855-300-2618,
,Centene Ambetter,Missouri,1020 Highland Colony Parkway,,Ridgeland,Mississippi,39157, 1-855-690-5433,1-855-650-3789 ,1-855-650-3789 , 1-855-690-5433,
,Centene Ambetter,Nebraska,7711 Carondelet Ave,,St. Louis,Missouri,63105,1-833-981-4182 ,1-833-890-0329 ,1-833-890-0329 ,1-833-981-4182 ,
,Centene Ambetter,Nevada,2525 N 117th Ave Ste. 100,,Omaha,Nebraska,68164,1-855-252-0568 ,1-866-263-8134,1-866-263-8134, 1-844-275-1405,
,Centene Ambetter,New Hampshire,2500 North Buffalo Drive,,Las Vegas,Nevada,89128,1-844-430-4485 ,1-844-265-1278,1-844-265-1278,1-844-430-4485 ,
,Centene Ambetter,New Jersey,"2 Executive Park Drive 
",,Bedford,New Hampshire,3110,1-833-959-3829,1-844-606-1926,1-844-606-1926,1-833-959-3829,
,Centene Ambetter,North Carolina,550 Broad Street 12th floor,,Newark,New Jersey,7102,1-844-536-2412 ,1-833-863-1310,1-833-863-1310,1-800-977-4170,
,Centene Ambetter,Ohio,1701 North Graham St,,Charlotte,North Carolina,28206,1-833-886-7956,1-877-687-1189 ,1-877-687-1189 ,1-888-241-0664 ,
,Centene Ambetter,Oklahoma,4349 Easton Way,,Columbus,Ohio,43219,1-833-739-0814,1-833-492-0679,1-833-492-0679, 1-833-739-1745,
,Centene Ambetter,Pennsylvania,14000 Quail Springs Parkway,,Oklahoma City,Oklahoma,73134,1-844-827-4948 ,1-833-510-4727 ,1-833-510-4727 ,1-844-827-4948 ,
,Centene Ambetter,South Carolina,1700 Bent Creek Boulevard,,Mechanicsburg,Pennsylvania,17050,1-844-827-4948 ,1-833-510-4727 ,1-833-270-5443,1-844-827-4948 ,
,Centene Ambetter,Tennessee,100 Center Point Circle,,Columbia,South Carolina,29210,1-833-886-7956,1-833-709-4735,1-833-709-4735,1-844-811-8467 ,
,Centene Ambetter,Texas,21281 Burbank Blvd.,,Woodland hills,Tennessee,91367,1-855-537-3447,1-877-687-1196,1-877-687-1196,1-855-537-3447,
,Centene Ambetter,Washington,5900 E. Ben White Blvd.,,Austin,Texas,78741,1-877-644-4602,1-877-687-1197,1-877-687-1197,1-800-977-4170,
,Amerigroup,Arizona,"P.O. Box 61010,",,Virginia Beach,Virgina,23466-1010,1-800-600-4441,1-800-964-3627,1-866-805-4589,1-800-964-3627,
,Amerigroup,Iowa,"P.O. Box 61010,",,Virginia Beach,Virgina,23466-1010,1-800-454-3730,1-800-964-3627,1-800-454-3730,1-844-400-3463,
,Amerigroup,New Jersey,101 Wood Avenue South,,Newark,New Jersey,8830,1-732-452-0407,1-732-452-6000,1-800-454-3730,1-877-271-2409,
,Amerigroup,Tennessee,"22 Century Blvd, Suite 310",,Nashville,Tennessee,37214,1-833-731-2154,1-757-490-7556,1-800-454-3730,1-866-805-4589,
,Amerigroup,Texas,"5900 E. Ben White Blvd.,",,"Austin,",Texas,78741,1-866-805-4589,1-757-490-7556,1-866-805-4589,1-800-964-3627,
,Amerigroup,Washington,705 5th Avenue S,,Seattle,Washington,98104,1-866-805-4589,1-757-490-7556,1-866-805-4589,1-800-964-3627,
,Amerihealth,New Hampshire,P.O. Box 7386,,London,Kentucky,40742-7386,1-800-225-2308,1-866-225-2308,1-866-225-2308,1-866-225-2308,
,Amerihealth,New Jersey,259 Prospect Plains Road,,Cranbury,New Jersey,08512-3706,1-800-225-2308,1-866-225-2308,1-866-225-2308,1-866-225-2308,
,Amerihealth,Pennsylvania,1901 Market Street,,Philadelphia,Pennsylvania,19103-1480,1-800-225-2308,1-866-225-2308,1-866-225-2308,1-866-225-2308,
,Anthem,California,P.O. Box 60007,,Los Angeles,California,90060-0007,1-888-235-8468,1-800-274-7767,1-855-715-5316,1-800-754-4708,
,Anthem,Colorado,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,1-800-852-5957,1-800-331-1476,1-800-964-3627,
,Anthem,Connecticut,P.O. Box 105557,,Atlanta,Georgia,30348, 1-800-964-3627,1-800-450-8753,1-800-331-1476,1-800-964-3627,
,Anthem,Georgia,P.O. Box 105557,,Atlanta,Georgia,30348,1-844-490-4876,1-844-396-2330,1-800-331-1476,"	1-844-490-4876",
,Anthem,Indiana,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-732-8318 ,1-800-331-1476,1-800-331-1476,1-800-732-8318,
,Anthem,Kentucky,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,1-855-661-2028,1-844-290-7591,1-800-964-3627,
,Anthem,Maine,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,"	1-800-331-1476",1-844-304-8786,1-800-964-3627,
,Anthem,Missouri,P.O. Box 105557,,Atlanta,Georgia,30348,1-855-462-3633,1-844-290-7588,1-844-290-7588,1-855-462-3633,
,Anthem,Nevada,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,1-844-396-2329,1-844-304-8781,1-844-490-4874,
,Anthem,New Hampshire,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,1-844-304-8780,1-844-304-8781,1-800-964-3627,
,Anthem,New York,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,1-800-450-8753,1-800-331-1476,1-800-964-3627,
,Anthem,Ohio,P.O. Box 105557,,Atlanta,Georgia,30348,1-877-643-0671,1-800-331-1476,1-800-331-1476,1-877-643-0672,
,Anthem,Virginia,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,1-800-450-8753 ,1-800-331-1476,1-800-964-3627,
,Anthem,Wisconsin,P.O. Box 105557,,Atlanta,Georgia,30348,1-800-964-3627,1-800-242-9635,1-844-304-8782,1-800-964-3627,
,Baylor Scott & White Health Plan,Central Texas,1207 W. Campus Drive,,Central TX,Texas,75075,1-800-626-3042,1-866-334-3141 ,1-800-321-7947,1-800-626-3042,
,Baylor Scott & White Health Plan,North Texas,1214 W. Campus Drive,,North TX,Texas,75074,1-800-626-3042,1-866-334-3141 ,1-800-321-7947,1-800-626-3042,
,Baylor Scott & White Health Plan,West Texas,1218 W. Campus Drive,,West TX,Texas,7303,1-800-626-3042,1-866-334-3141 ,1-800-321-7947,1-800-626-3042,
,CareFirst,Districts of Columbia,P.O. Box 915,,Owings Mills,Maryland,21117,1-855-290-5744,1-410-605-2566,1-855-290-5744,1-410-605-2566,
,CareFirst,Maryland,P.O. Box 915,,Owings Mills,Maryland,21117,1-855-290-5744,1-410-605-2566,1-855-290-5744,1-410-605-2566,
,CareFirst,New Jersey,PO Box 1609,,Newark,New Jersey,07101-1609,1-855-215-6947,1-800-842-5975,1-833-320-2664,1-855-215-6947,
,Caresource,Georgia,230 N.Main St,,Dayton,Ohio,45402,1-844-676-0370,"
1-855-202-0729",1-678-214-7500,1-844-676-0370,
,Caresource,Michigan,230 N.Main St,,Dayton,Ohio,45402,1-844-432-8931, 1-833-230-2102, 1-833-230-2053,1-844-432-8931,
,Caresource,Ohio,230 N.Main St,,Dayton,Ohio,45402,1-844-417-6157,1-800-488-0134,1-800-488-0134,1-844-417-6157,
,Caresource,Wisconsin,230 N.Main St,,Dayton,Ohio,45402,1-844-676-0372,1-833-230-2101,1-678-214-7500,1-844-676-0372,
,Caresource,West Virginia,230 N.Main St,,Dayton,Ohio,45402,1-844-676-0367,1-833-230-2099 ,1-678-214-7500,1-844-676-0367,
,Caresource,Indiana,230 N.Main St,,Dayton,Ohio,45402,1-800-418-0248,1-844-607-2831,1-317-982-6400,1-800-418-0248,
,Caresource,Kentucky,230 N.Main St,,Dayton,Ohio,45402,1-844-417-6157,1-833-230-2176 ,1-678-214-7500,1-844-417-6157,
,Clover Health,Georgia, P.O.Box 21164,,Eagan,Minnesota,55121,1-888-778-1478 ,1-866-201-3008,1-877-853-8019,1-732-412-4317,
,Clover Health,New Jersey, P.O.Box 21164,,Eagan,Minnesota,55121,1-888-778-1478 ,1-866-201-3008,1-877-853-8019,1-732-412-4317,
,Clover Health,Pennsylvania, P.O.Box 21164,,Eagan,Minnesota,55121,1-888-778-1478 ,1-866-201-3008,1-877-853-8019,1-732-412-4317,
,Clover Health,South Carolina, P.O.Box 21164,,Eagan,Minnesota,55121,1-888-778-1478 ,1-866-201-3008,1-877-853-8019,1-732-412-4317,
,Clover Health,Texas, P.O.Box 21164,,Eagan,Minnesota,55121,1-888-778-1478 ,1-866-201-3008,1-877-853-8019,1-732-412-4317,
,Community First Health Plans,Texas,"Avenida Guadalupe
1410 Guadalupe
Ste. #222",,San Antonio,Texas,78207,1-800-434-2347,1-210-358-6199,1-800-434-2347,1-210-358-6099,
,Community Health Choice,Texas,4888 Loop Central Dr. Suite 600,,Houston,Texas,77081,1-833-276-8306,1-713-295-2283,1-888-495-2850,1-713-295-7019,
,Cook Childrens Health Plan,Texas,P.O. Box 2488,,Fort Worth,Texas,76113,1-800-964-2247,1-682-885-8402,1-800-964-2247,1-682-303-0005,
,Dean Health,Wisconsin,PO Box 56099 ,,Madison,Wisconsin,53705-9399,1-608-836-6516,1-800-279-1301,1-800-279-1302,1-608-252-0830,
,Denver Health,Colorado,777 Bannock Street,,Denver,Colorado,80204,1-303-602-2270,1-303-602-2970,1-800-700-8140,1-303-602-2981,
,Emblem Health,New York, P.O. Box 2844,, New York, New York, 10116-2844 ,1-844-296-4440,1-877-444-3657,1-877-793-6253,1-844-296-4440,
,Fidelis Care,New York,25-01 Jackson Avenue,,Long Island City,New York,11101,1-877-533-2405,1-888-343-3547,1-888-343-3547,1-877-247-9187,
,GEHA,All States,"310, NE Mulberry St",,Lees Summit,All States,64086,1-866-953-7594,1-800-821-6136,1-877-434-2336,1-866-953-7594,
,Geisinger Health Plan,Pennsylvania ,100 N. Academy Ave.,,Danville,Pennsylvania ,17822,1-570-271-7860,1-800-544-3907,1-844-447-7768,1-570-271-7860,
,GuideWell (Florida Blue),Florida,P.O. Box 31358,,Tampa,Florida,33631-3358,1-904-357-6699,1-904-905-8618 ,1-888-902-5707,1-904-357-6699,
,HAP,Michigan,1414 E. ,,Troy,Michigan,48083,1-313-664-5460,1-866-766-4661,1-888-735-2542,1-313-664-5460 ,
,HealthPartners,Wisconsin- brown,1331 North Road,,Green Bay,wisconsin,55121,1-952-883-7333,1-952-967-7998,1-952-967-7998,1-651-662-6284,
,HealthPartners,Minnesota- Anoka,8170 33rd Avenue,,South Bloomington,Minnesota,55425,1-952-883-7333,1-952-967-7998,1-952-967-7998,1- 651-662-6284,
,HealthFirst,New York,100 Church Street,,New York,New York,10007,1-212-801-3250,1-844-347-5816,1-888-801-1660,1-888-394-4327,
,hmsa (Hawaii Medical Service Association),Hawaii,818 Keeaumoku St.,,Honolulu,Hawaii,96814,1-808-948-8210,1-808-948-6079,1-855-298-2491,1-808-944-5611,
,Health Alliance,Indiana,3310 Fields South Drive,,Champaign,Illinois,61822,1-217-902-9708,1-800-851-3379, 1-888-382-9771,1-217-902-9708,
,Health Alliance,Iowa ,600 W. 4th Street,,Davenport,Iowa ,52801,1-217-902-9708,1-800-851-3379, 1-888-382-9771,1-217-902-9708,
,L.A. Care Health Plan,California,1200 W. 7th Street,,Los Angeles,California,90017,1-213-694-1246,1-213-694-1250,1-855-270-2327,1-213-694-1246,
,Medical Mutual,Ohio,100 American Road,,Cleveland,Ohio,44144,1-888-693-3210,1-800-625-2583,1-800-362-1279,1-216-687-7994,
,MetroPlusHealth,New York,50 Water Street,,​New York,​New York,10004,1-212-908-8601,1-866-986-0356,"1-800-303-9626,",1-212-908-5282 ,
,MVP Health Care,New york,PO Box 2207,,Schenectady,New York,12301,1-800-280-7346, 1-800-684-9286,1-800-825-5687, 1-800-376-6373,
,MVP Health Care,Vermont,62 Merchants Row,,Williston,Vermont,5495,1-800-376-6373,1-800-380-3530,1-800-825-5687,1-800-280-7346,
,PacificSource,Idaho,408 E. Parkcenter Boulevard,,Boise,Idaho,83706,1-208-333-1597 ​, 1-888-691-8209 ​,1-888-863-3637,1-208-333-1597,
,PacificSource,Montana,828 Great Northern Blvd,,Helena,Montana,59601,1-406-441-3378 ​,1-888-691-8209 ​,1-888-863-3637,1-406-441-3378,
,PacificSource,Nevada,408 E. Parkcenter Boulevard,,Boise,Idaho,83706,1-541-225-3625 ​, 1-888-977-9299,1-888-863-3637,1-541-225-3625 ​,
,PacificSource,Oregon,555 International Way,,Springfield,Oregon,97477,1-541-225-3625 ​,1-888-691-8209 ​,1-888-863-3637,1-541-225-3625 ​,
,Paramount,Ohio,P.O. Box 497,,Toledo,Ohio, 43697-0497,1-419-887-2047,1-419-887-2525 ,1-800-462-35889,1-419-887-2520,
,Priority health,Michigan,1231 East Beltline Ave,,NEGrand Rapids,Michigan,49525,1-888-647-6152,1-800-942-0954,1-800-942-4765,1-888-647-6152,
,Regence,Idaho,P.O. Box 1106,,Lewiston,Idaho,83501-1106,1-801-316-9554,1-844-239-4914,1-844-809-8445,1-844-251-1450,
,Regence,Oregon,P.O. Box 1106,,Lewiston,Oregon,83501-1106,1-503-399-9056,1-888-562-5442,1-888-869-7165,1-844-261-2749,
,Regence,Utah,P.O. Box 1106,,Lewiston,Utah,83501-1106,1-801-858-0409,1-888-483-0760,1-855-322-4081,1-866-472-0589,
,Regence,Washington,P.O. Box 1106,,Lewiston,Washington,83501-1106,1-877-814-0342,1-855-322-4082,1-855-322-4082,1-833-552-0030,
,Tufts Health Plan,Massachusetts,1 Wellness Way,,Canton,Massachusetts,02021,1-617-972-9475,1-617-972-9400, 1-866-623-0172,1-888-415-9055,
,Valley Health Plan,California,2480 N. First Street,,San Jose,California,95131,1-888-249-5646,1-888-421-8444,1-408-885-4563,1-408-885-4875 ,
,Alignment Healthcare,North Carolina,P.O. Box 14012,,Orange,California,92863-1412,1-844-310-2247,1-480-681-7129,1-844-286-2855,1-562-207-4628,
,Alignment Healthcare,Texas,P.O. Box 14012,,Orange,California,92863-1412,1-844-310-2247,1-480-681-7129,1-844-286-2855,1-562-207-4628,
,Alignment Healthcare,California,P.O. Box 14012,,Orange,California,92863-1412,1-844-310-2247,1-480-681-7129,1-844-286-2855,1-562-207-4628,
,Alignment Healthcare,Nevada,P.O. Box 14012,,Orange,California,92863-1412,1-844-310-2247,1-480-681-7129,1-844-286-2855,1-562-207-4628,
,Alignment Healthcare,Arizona,P.O. Box 14012,,Orange,California,92863-1412,1-844-310-2247,1-480-681-7129,1-844-286-2855,1-562-207-4628,
,Arkansas Blue Cross Medicaid,Arkansas,P.O. Box 2181,,Little Rock,Arkansas,72203,1-479-649-8501,1-479-649-0799,1-501-378-2010,1-479-649-0799,
,Banner Health,Arizona,2901 N Central Ave,,Phoenix,Arizona,85012,1-800-582-8686,1-866-465-8340,1-800-582-8686,1-866-465-8340,
,WellSense Health Plan,New Hampshire,1155 Elm Street,,Manchester,New Hampshire,3101,1-833-812-0687,1-877-957-1300,1-855-833-8122,1-833-812-0687,
,WellSense Health Plan,Massachusetts,100 City Square,,Charlestown,Massachusetts,2129,1-833-812-0687,1-888-566-0010,1-855-833-8120 ,1-833-812-0687,
,Alliant Health Plans,Georgia,PO Box 2667,,Dalton,Georgia,30722,1-866-370-5667,1-800-865-5922,1-866- 403-2785,1-866-370-5667,
,Alliant Health Plans,Tennessee,PO Box 2667,,Dalton,Georgia,30722,1-866-370-5667,1-800-865-5922,1-866- 403-2785,1-866-370-5667,
,primewell,Arkansas,130 Desiard Street,,Monroe,Louisiana,71201,1-800-424-5851,1-800-424-7895,1-877-830-8479,1-800-424-7976,
,primewell,Mississippi,130 Desiard Street,,Monroe,Louisiana,71201,1-800-424-5851,1-800-424-7895,1-877-830-8454,1-800-424-7976,
,SelectHealth,Colorado,10375 Park Meadows Dr #125,,Lone Tree,Colorado,80124,1-801-442-0825,1-855-442-9900,1-800-538-5038,1-801-442-0825,
,SelectHealth,Nevada,6795 Agilysys Way Suite 110,,Las Vegas,Nevada,89113,1-801-442-0825,1-855-442-9900, 1-855-442-9900,1-801-442-0825,
,SelectHealth,Utah,5381 S Green St.,,Murray,Utah,84123,1-801-442-3006,1-801-442-4912,1-800-538-5038,1-801-442-3006,
,SelectHealth,Idaho,3330 E Louise Dr,,Meridian,Idaho,83642,1-801-442-3006,1-801-442-4912, 1-855-442-9900,1-801-442-3006,
,Quartz,Illinois,2650 Novation Parkway,,Fitchburg,Wisconsin,53713,1-608-821-4207,1-800-362-3310,1-800-394-5566,1-608-821-4207,
,Quartz,Iowa,2650 Novation Parkway,,Fitchburg,Wisconsin,53713,1-608-821-4207,1-800-362-3310,1-800-394-5566,1-608-821-4207,
,Quartz,Minnesota ,2650 Novation Parkway,,Fitchburg,Wisconsin,53713,1-608-821-4207,1-800-362-3310,1-800-877-8973,1-608-821-4207,
,Quartz,Wisconsin,2650 Novation Parkway,,Fitchburg,Wisconsin,53713,1-608-821-4207,1-800-362-3310,1-800-394-5566,1-608-821-4207,
,Antidote health,Arizona,1460 Broadway,,New York,New York,10036,1-347-296-3528,1-888-623-3195,1-888-623-3195,1-347-296-3528,
,Antidote health,Ohio,1460 Broadway,,New York,New York,10036,1-347-296-3528,1-888-623-3195,1-888-623-3195,1-347-296-3528,
,AultCare,Ohio,P.O. Box 6905 ,,Canton,Ohio,44706 ,1-330-363-2350,1-330-363-1160,1-330-363-7407 ,1-330-580-6764,
,simplyhealthcareplans,Florida,11430 NW 20th Street,,Miami,Florida,33172,1-877-915-0551,1-800-959-1597,1-844-405-4297,1-877-577-9045,
,Mountain Health CO-OP,Idaho,PO Box 30311,,Salt Lake City,Utah,84130,1-559-243-7012,1-855-447-2900,1-800-299-6080,1-559-243-7012,
,Mountain Health CO-OP,Montana,PO Box 30311,,Salt Lake City,Utah,84130,1-559-243-7012,1-855-447-2900,1-800-299-6080,1-559-243-7012,
